Category URL,Category name,Product URL,Product name,Unit,Price,Image
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/snack-crunchy-caballa-frambuesas.html,Carnilove Snack Crunchy Caballa con Frambuesas premio crujiente para perro Mackerel & Raspberries,6 Unidades.,13.49,https://www.petsonic.com/19065-large_default/snack-crunchy-caballa-frambuesas.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-cordero-comestible-4-unidades-ferplast.html,Juguete Goodbite Natural Cordero Comestible 1 unidad Ferplast,70 Grs,3.32,https://www.petsonic.com/21426-large_default/juguete-goodbite-natural-cordero-comestible-4-unidades-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-pollo-comestible-4-unidades-ferplast.html,Juguete Goodbite Natural Pollo Comestible 1 unidad Ferplast,70 Grs,3.32,https://www.petsonic.com/21427-large_default/juguete-goodbite-natural-pollo-comestible-4-unidades-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-cereal-s-40gr-comestible-6-unidades-ferplast.html,Juguete Goodbite Natural Cereal S 40Gr Comestible 1 unidad Ferplast,S,2.15,https://www.petsonic.com/21433-large_default/juguete-goodbite-natural-cereal-s-40gr-comestible-6-unidades-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-cordero-40grs-6-unidades-comestible-ferplast.html,Juguete Goodbite Natural Cordero 40Grs 1 unidad Comestible Ferplast,XS,2.06,https://www.petsonic.com/21434-large_default/juguete-goodbite-natural-cordero-40grs-6-unidades-comestible-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-cordero-40grs-6-unidades-comestible-ferplast.html,Juguete Goodbite Natural Cordero 40Grs 1 unidad Comestible Ferplast,S,2.15,https://www.petsonic.com/21434-large_default/juguete-goodbite-natural-cordero-40grs-6-unidades-comestible-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-jamon-6-unidades-comestible-ferplast.html,Juguete Goodbite Natural Jamon 1 Unidad Comestible Ferplast,S,2.15,https://www.petsonic.com/21438-large_default/juguete-goodbite-natural-jamon-6-unidades-comestible-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-pollo-6-unidades-comestible-ferplast.html,Juguete Goodbite Natural Pollo 2 Unidades Comestible Ferplast,XS,2.06,https://www.petsonic.com/21440-large_default/juguete-goodbite-natural-pollo-6-unidades-comestible-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-ternera-6-unidades-comestible-ferplast.html,Juguete Goodbite Natural Ternera 2 Unidades Comestible Ferplast,XS,2.06,https://www.petsonic.com/21442-large_default/juguete-goodbite-natural-ternera-6-unidades-comestible-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-goodbite-natural-ternera-6-unidades-comestible-ferplast.html,Juguete Goodbite Natural Ternera 2 Unidades Comestible Ferplast,S,2.15,https://www.petsonic.com/21442-large_default/juguete-goodbite-natural-ternera-6-unidades-comestible-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-hueso-natural-cereal-s-40grs-comestible-6-unidades-ferplast.html,Juguete Hueso Natural Cereal S 40Grs Comestible 6 unidades Ferplast,S,4.13,https://www.petsonic.com/21444-large_default/juguete-hueso-natural-cereal-s-40grs-comestible-6-unidades-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-hueso-natural-cordero-s-40grs-comestible-6-unidades-ferplast.html,Juguete Hueso Natural Cordero S 40Grs Comestible 2 unidades Ferplast,S,4.13,https://www.petsonic.com/21445-large_default/juguete-hueso-natural-cordero-s-40grs-comestible-6-unidades-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-hueso-natural-jamon-40grs-6-unidades-comestible-6-unidades-ferplast.html,Juguete Hueso Natural Jamon 40Grs 6 unidades Comestible 6 unidades Ferplast,XS,4.04,https://www.petsonic.com/21446-large_default/juguete-hueso-natural-jamon-40grs-6-unidades-comestible-6-unidades-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-hueso-natural-jamon-40grs-6-unidades-comestible-6-unidades-ferplast.html,Juguete Hueso Natural Jamon 40Grs 6 unidades Comestible 6 unidades Ferplast,S,4.13,https://www.petsonic.com/21446-large_default/juguete-hueso-natural-jamon-40grs-6-unidades-comestible-6-unidades-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-hueso-natural-pollo-40grs-6-unidades-comestible-6-unidades-ferplast.html,Juguete Hueso Natural Pollo 40Grs 6 unidades Comestible 6 unidades Ferplast,XS,4.04,https://www.petsonic.com/21448-large_default/juguete-hueso-natural-pollo-40grs-6-unidades-comestible-6-unidades-ferplast.jpg
https://www.petsonic.com/huesos-para-perro/,Huesos para Perro,https://www.petsonic.com/juguete-hueso-natural-pollo-40grs-6-unidades-comestible-6-unidades-ferplast.html,Juguete Hueso Natural Pollo 40Grs 6 unidades Comestible 6 unidades Ferplast,S,4.13,https://www.petsonic.com/21448-large_default/juguete-hueso-natural-pollo-40grs-6-unidades-comestible-6-unidades-ferplast.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/snacks-de-pollo-en-monodosis-para-perro.html,Alpha Spirit Complementos Snacks de Pollo en Monodosis para Perro,Pack 16 x 35Grs,10.25,https://www.petsonic.com/12024-large_default/snacks-de-pollo-en-monodosis-para-perro.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/snacks-de-higado-en-monodosis-para-perro.html,Alpha Spirit Complementos Snacks de Higado en Monodosis para Perro,Pack 16 x 35Grs,10.25,https://www.petsonic.com/12026-large_default/snacks-de-higado-en-monodosis-para-perro.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/snacks-de-pescado-en-monodosis-para-perro.html,Alpha Spirit Complementos Snacks de Pescado en Monodosis para Perro,Pack 16 x 35Grs,10.25,https://www.petsonic.com/12027-large_default/snacks-de-pescado-en-monodosis-para-perro.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/snacks-de-pato-en-monodosis-para-perro.html,Alpha Spirit Complementos Snacks de Pato en Monodosis para Perro,Pack 16 x 35Grs,10.25,https://www.petsonic.com/12028-large_default/snacks-de-pato-en-monodosis-para-perro.jpg
